Rank,Club,Country,Level,Elo,From,To
None,Goeteborg,SWE,1,1335.48828125,2021-07-27,2021-08-02
None,St Johnstone,SCO,1,1335.24194336,2021-07-23,2021-07-31
None,Admira,AUT,1,1333.93981934,2021-07-25,2021-07-31
None,Valenciennes,FRA,2,1333.40673828,2021-07-25,2021-08-16
None,Inhulets,UKR,1,1331.52954102,2021-07-25,2021-08-16
None,Seraing,BEL,1,1331.5111084,2021-07-25,2021-07-31
None,Rodez,FRA,2,1331.30151367,2021-07-25,2021-08-16
None,Mura,SVN,1,1327.89526367,2021-07-25,2021-07-28
None,Nacional,POR,1,1327.16723633,2021-07-23,2021-08-16
None,Sheriff Tiraspol,MOL,0,1327.05981445,2021-07-23,2021-07-28
None,Erzurum BB,TUR,1,1324.40893555,2021-07-23,2021-08-16
None,Pescara,ITA,2,1323.88305664,2021-05-11,2021-08-16
None,Viitorul,ROM,1,1321.68237305,2021-07-23,2021-07-30
None,Vejle,DEN,1,1321.10168457,2021-07-27,2021-08-01
None,Jagiellonia,POL,1,1320.08496094,2021-07-25,2021-08-16
None,Ceske Budejovice,CZE,1,1319.5814209,2021-07-26,2021-08-16
None,Neftchi,AZE,0,1319.30102539,2021-07-23,2021-07-28
None,Livingston,SCO,1,1318.04711914,2021-07-23,2021-07-31
None,Gornik,POL,1,1317.0690918,2021-07-26,2021-07-30
None,Stromsgodset,NOR,1,1316.6472168,2021-07-23,2021-07-28
None,Dinamo Minsk,BLR,1,1316.63256836,2021-07-25,2021-08-16
None,Waalwijk,NED,1,1316.37121582,2021-07-23,2021-08-14
None,Viborg,DEN,1,1315.77966309,2021-07-26,2021-07-31
None,Warta,POL,1,1314.88330078,2021-07-26,2021-08-16
None,Dunkerque,FRA,2,1314.03125,2021-07-25,2021-08-16
None,Atromitos,GRE,1,1313.93371582,2021-07-23,2021-08-16
None,Beitar,ISR,1,1313.93200684,2021-07-23,2021-08-16
None,Clinceni,ROM,1,1313.81726074,2021-07-25,2021-08-16
None,Levski,BUL,1,1313.55053711,2021-07-25,2021-08-16
None,Sarpsborg,NOR,1,1312.38635254,2021-07-23,2021-07-28
None,Lillestrom,NOR,1,1311.96655273,2021-07-23,2021-07-28
None,Ankaraguecue,TUR,1,1311.74243164,2021-07-23,2021-08-16
None,Metalist 1925,UKR,1,1310.43518066,2021-07-26,2021-08-16
None,Wisla,POL,1,1310.33984375,2021-07-27,2021-08-16
None,Gaz Metan,ROM,1,1309.80712891,2021-07-23,2021-07-30
None,Paksi,HUN,1,1307.40307617,2021-07-23,2021-08-16
None,Puskas Akademia,HUN,1,1306.91967773,2021-07-23,2021-08-16
None,Karvina,CZE,1,1306.890625,2021-07-25,2021-07-31
None,Hapoel Eran Hadera,ISR,1,1306.27722168,2021-07-23,2021-08-16
None,Beroe Stara Zagora,BUL,1,1305.83789062,2021-07-24,2021-08-16
None,Netanya,ISR,1,1305.48339844,2021-07-23,2021-08-16
None,Veres,UKR,1,1305.05749512,2021-07-25,2021-08-16
None,FC Lviv,UKR,1,1303.61010742,2021-07-24,2021-08-16
None,Silkeborg,DEN,1,1303.28759766,2021-07-26,2021-08-01
None,Plock,POL,1,1303.2677002,2021-07-25,2021-08-16
None,Domzale,SVN,1,1300.91430664,2021-07-26,2021-08-16
None,Genclerbirligi,TUR,1,1300.41174316,2021-07-23,2021-08-16
None,Go Ahead Eagles,NED,1,1299.00415039,2021-07-23,2021-08-13
None,Nijmegen,NED,1,1299.00415039,2021-07-23,2021-08-14
None,Cambuur,NED,1,1299.00415039,2021-07-23,2021-08-15
None,Motherwell,SCO,1,1298.90893555,2021-07-23,2021-08-01
None,Bastia,FRA,2,1298.43200684,2021-07-25,2021-08-16
None,Cherno More,BUL,1,1298.01647949,2021-07-24,2021-08-16
None,Sibenik,CRO,1,1296.01086426,2021-07-25,2021-08-16
None,US Quevilly,FRA,2,1295.76037598,2021-07-25,2021-08-16
None,Chernomorets,UKR,1,1295.67028809,2021-07-26,2021-08-16
None,Niort,FRA,2,1294.47119141,2021-07-25,2021-08-16
None,Entella,ITA,2,1291.9564209,2021-05-11,2021-08-16
None,Sandefjord,NOR,1,1291.62365723,2021-07-23,2021-07-28
None,Olimpija Ljubljana,SVN,1,1291.50805664,2021-07-26,2021-08-16
None,Dinamo Bucuresti,ROM,1,1291.09350586,2021-07-27,2021-08-16
None,Lamia,GRE,1,1289.72802734,2021-07-23,2021-08-16
None,Mjaellby,SWE,1,1289.21533203,2021-07-25,2021-08-01
None,Kiryat Shmona,ISR,1,1287.68713379,2021-07-23,2021-08-16
None,St Mirren,SCO,1,1285.69604492,2021-07-23,2021-07-31
None,Hapoel Haifa,ISR,1,1283.33239746,2021-07-23,2021-08-16
None,Stabaek,NOR,1,1283.00744629,2021-07-23,2021-07-28
None,Inter Baku,AZE,0,1281.22045898,2021-07-23,2021-08-16
None,Arda,BUL,1,1280.64953613,2021-07-27,2021-08-16
None,Karagandy,KAZ,0,1278.79003906,2021-07-23,2021-08-16
None,NFC Volos,GRE,1,1278.55383301,2021-07-23,2021-08-16
None,IK Sirius,SWE,1,1277.62011719,2021-07-25,2021-08-02
None,Tobol,KAZ,0,1277.53417969,2021-07-23,2021-08-16
None,Arges Pitesti,ROM,1,1277.04187012,2021-07-24,2021-07-30
None,Mjondalen,NOR,1,1276.73950195,2021-07-23,2021-07-28
None,H Tel Aviv,ISR,1,1275.27746582,2021-07-23,2021-08-16
None,Sumqayit,AZE,0,1274.57995605,2021-07-23,2021-08-16
None,Teplice,CZE,1,1274.17102051,2021-07-26,2021-07-30
None,UTA Arad,ROM,1,1273.52563477,2021-07-24,2021-08-01
None,Chindia Targoviste,ROM,1,1272.93969727,2021-07-27,2021-07-31
None,Mezokovesd-Zsory,HUN,1,1265.72473145,2021-07-23,2021-08-16
None,Brann,NOR,1,1265.63171387,2021-07-23,2021-08-16
None,Ujpest,HUN,1,1264.81018066,2021-07-23,2021-08-16
None,Kisvarda,HUN,1,1264.40844727,2021-07-23,2021-08-16
None,Istra,CRO,1,1264.0,2021-07-26,2021-08-16
None,Tescoma Zlin,CZE,1,1263.42138672,2021-07-26,2021-08-16
None,OFI,GRE,1,1262.71765137,2021-07-23,2021-08-16
None,CSKA 1948 Sofia,BUL,1,1262.67419434,2021-07-26,2021-08-16
None,Stal Mielec,POL,1,1260.61645508,2021-07-24,2021-08-16
None,Bnei Yehuda,ISR,1,1259.50378418,2021-07-23,2021-08-16
None,M Petach Tikva,ISR,1,1259.29052734,2021-07-23,2021-08-16
None,Velez Mostar,BHZ,0,1257.93200684,2021-07-23,2021-08-16
None,Varbergs,SWE,1,1257.59558105,2021-07-27,2021-07-31
None,Zalaegerszegi,HUN,1,1257.06628418,2021-07-23,2021-08-16
None,Oerebro,SWE,1,1256.94543457,2021-07-27,2021-08-02
None,Voluntari,ROM,1,1255.92407227,2021-07-25,2021-07-31
None,Honved,HUN,1,1255.35229492,2021-07-23,2021-08-16
None,Slavia Sofia,BUL,1,1254.0435791,2021-07-25,2021-08-16
None,Dundee United,SCO,1,1250.11706543,2021-07-23,2021-08-01
None,Celje,SVN,1,1249.67419434,2021-07-24,2021-08-16
None,Denizlispor,TUR,1,1249.15039062,2021-07-23,2021-08-16
None,Ross County,SCO,1,1247.70446777,2021-07-23,2021-07-31
None,Bravo,SVN,1,1247.56323242,2021-07-25,2021-08-16
None,Kalmar,SWE,1,1247.24279785,2021-07-26,2021-08-01
None,Radomiak,POL,1,1246.70788574,2021-07-24,2021-08-16
None,Tromso,NOR,1,1246.08813477,2021-07-23,2021-08-16
None,Suduva,LIT,0,1245.24328613,2021-07-23,2021-08-16
None,Kuopio,FIN,0,1244.99780273,2021-07-23,2021-08-16
None,Gornik Leczna,POL,1,1242.55041504,2021-07-25,2021-07-30
None,Botev Plovdiv,BUL,1,1240.72753906,2021-07-25,2021-08-16
None,Rukh Brest,BLR,1,1240.69873047,2021-07-24,2021-08-16
None,Nieciecza,POL,1,1240.28479004,2021-07-24,2021-08-16
None,Larisa,GRE,1,1240.19641113,2021-07-23,2021-08-16
None,Tabor Sezana,SVN,1,1239.16003418,2021-07-24,2021-08-16
None,Hradec Kralove,CZE,1,1239.04736328,2021-07-25,2021-07-31
None,Ostersund,SWE,1,1239.01965332,2021-07-27,2021-08-01
None,Rapid Bucuresti,ROM,1,1237.32617188,2021-07-24,2021-07-30
None,Panetolikos,GRE,1,1235.85424805,2021-07-23,2021-08-16
None,FK Riga,LAT,0,1234.50720215,2021-07-23,2021-08-16
None,Partizani Tirana,ALB,0,1234.46386719,2021-07-23,2021-08-16
None,Siroki Brijeg,BHZ,0,1234.2512207,2021-07-23,2021-08-16
None,FK Sarajevo,BHZ,0,1234.23913574,2021-07-23,2021-08-16
None,Aluminij,SVN,1,1233.47070312,2021-07-25,2021-08-16
None,Laci,ALB,0,1233.0135498,2021-07-23,2021-08-16
None,Halmstad,SWE,1,1231.46569824,2021-07-27,2021-08-02
None,Degerfors,SWE,1,1231.34606934,2021-07-25,2021-07-31
None,Dundee,SCO,1,1230.93212891,2021-07-23,2021-07-31
None,Hearts,SCO,1,1230.93212891,2021-07-23,2021-07-31
None,Giannina,GRE,1,1230.65319824,2021-07-23,2021-08-16
None,Apollon Athens,GRE,1,1229.91418457,2021-07-23,2021-08-16
None,MTK,HUN,1,1228.26782227,2021-07-23,2021-08-16
None,Torpedo Zhodino,BLR,1,1228.16162109,2021-07-23,2021-08-16
None,Vllaznia,ALB,0,1226.78625488,2021-07-23,2021-08-16
None,Istra 1961,CRO,1,1225.16015625,2021-07-23,2021-08-16
None,HJK Helsinki,FIN,0,1224.94140625,2021-07-23,2021-07-27
None,Sfintul Gheorghe,MOL,0,1219.36608887,2021-07-23,2021-08-16
None,Borac Banja Luka,BHZ,0,1217.24951172,2021-07-23,2021-08-16
None,Craiova 1948,ROM,1,1214.56408691,2021-07-27,2021-07-31
None,RFS,LAT,0,1209.66650391,2021-07-23,2021-08-16
None,Honka Espoo,FIN,0,1209.26184082,2021-07-23,2021-08-16
None,Tsarsko Selo,BUL,1,1208.56262207,2021-07-24,2021-08-16
None,Liepajas,LAT,0,1207.54467773,2021-07-23,2021-08-16
None,Zalgiris Vilnius,LIT,0,1206.83984375,2021-07-23,2021-07-27
None,Bnei Sakhinin,ISR,1,1205.96508789,2021-07-23,2021-08-16
None,Dragovoljac,CRO,1,1204.8861084,2021-07-24,2021-08-16
None,Dundalk,IRL,0,1201.67041016,2021-07-23,2021-08-16
None,Mioveni,ROM,1,1198.67004395,2021-07-24,2021-08-16
None,Shkendija,MAC,0,1198.27856445,2021-07-23,2021-08-16
None,Diosgyori,HUN,1,1195.95983887,2021-07-23,2021-08-16
None,Inter Turku,FIN,0,1194.70581055,2021-07-23,2021-08-16
None,Isloch,BLR,1,1188.75305176,2021-07-26,2021-08-16
None,Teuta Durres,ALB,0,1188.29516602,2021-07-23,2021-07-27
None,Milsami Orhei,MOL,0,1184.47399902,2021-07-23,2021-08-16
None,Petrocub,MOL,0,1181.35266113,2021-07-23,2021-08-16
None,Sligo,IRL,0,1179.74230957,2021-07-23,2021-08-16
None,Valmieras,LAT,0,1179.38671875,2021-07-23,2021-08-16
None,Botev Vratsa,BUL,1,1177.81054688,2021-07-27,2021-08-16
None,FK Vitebsk,BLR,1,1177.76623535,2021-07-25,2021-08-16
None,Koper,SVN,1,1175.38330078,2021-07-25,2021-08-16
None,Batumi,GEO,0,1174.56054688,2021-07-23,2021-08-16
None,Dila Gori,GEO,0,1173.28466797,2021-07-23,2021-08-16
None,Gomel,BLR,1,1173.02160645,2021-07-23,2021-08-16
None,Breidablik,ISL,0,1169.97106934,2021-07-23,2021-08-16
None,Hafnarfjoerdur,ISL,0,1169.59863281,2021-07-23,2021-08-16
None,Kfar-Saba,ISR,1,1165.74890137,2021-07-23,2021-08-16
None,Gagra,GEO,0,1165.70043945,2021-07-23,2021-08-16
None,Alashkert,ARM,0,1165.26269531,2021-07-23,2021-07-28
None,Shamrock,IRL,0,1163.7479248,2021-07-23,2021-08-16
None,Dinamo Tbilisi,GEO,0,1161.07019043,2021-07-23,2021-08-16
None,Valur,ISL,0,1158.41955566,2021-07-23,2021-08-16
None,Stjarnan,ISL,0,1155.86779785,2021-07-23,2021-08-16
None,FK Minsk,BLR,1,1151.96276855,2021-07-24,2021-08-16
None,Neman Grodno,BLR,1,1150.7689209,2021-07-25,2021-08-16
None,Panevezys,LIT,0,1149.22619629,2021-07-23,2021-08-16
None,Zvyazda BDU,BLR,1,1140.50769043,2021-07-23,2021-08-16
None,Ararat,ARM,0,1135.87805176,2021-07-23,2021-08-16
None,Budafoki,HUN,1,1130.45849609,2021-07-23,2021-08-16
None,Kauno Zalgiris,LIT,0,1124.08300781,2021-07-23,2021-08-16
None,Drita,KOS,0,1123.10961914,2021-07-23,2021-08-16
None,Radomlje,SVN,1,1118.43554688,2021-07-26,2021-08-16
None,The New Saints,WAL,0,1117.93066406,2021-07-21,2021-08-16
None,Banants,ARM,0,1105.43701172,2021-07-23,2021-08-16
None,Slavia Mozyr,BLR,1,1098.31713867,2021-07-23,2021-08-16
None,Shkupi,MAC,0,1096.33227539,2021-07-23,2021-08-16
None,Nomme Kalju,EST,0,1095.25476074,2021-07-23,2021-08-16
None,Noah,ARM,0,1093.29772949,2021-07-23,2021-08-16
None,Coleraine,NIR,0,1092.13037109,2021-07-23,2021-08-16
None,Linfield,NIR,0,1086.48132324,2021-07-23,2021-08-16
None,FK Podgorica,MNT,0,1085.50720215,2021-07-23,2021-08-16
None,Sileks,MAC,0,1084.26379395,2021-07-23,2021-08-16
None,Flora Tallinn,EST,0,1082.93798828,2021-07-23,2021-07-27
None,Lok Sofia,BUL,1,1080.85827637,2021-07-24,2021-08-16
None,Blagoevgrad,BUL,1,1079.90100098,2021-07-25,2021-08-16
None,Dudelange,LUX,0,1077.00341797,2021-07-23,2021-08-16
None,Swift Hesperange,LUX,0,1074.93603516,2021-07-23,2021-08-16
None,Decic,MAC,0,1073.30395508,2021-07-23,2021-08-16
None,Struga,MAC,0,1073.01391602,2021-07-23,2021-08-16
None,Slutsk,BLR,1,1071.26501465,2021-07-25,2021-08-16
None,Larne,NIR,0,1070.78833008,2021-07-23,2021-08-16
None,Fola Esch,LUX,0,1068.78222656,2021-07-23,2021-08-16
None,Glentoran,NIR,0,1068.06311035,2021-07-23,2021-08-16
None,R Letzebuerg,LUX,0,1063.8404541,2021-07-23,2021-08-16
None,Prishtine,KOS,0,1057.95861816,2021-07-23,2021-08-16
None,Sutjeska,MNT,0,1050.49804688,2021-07-23,2021-08-16
None,Podgorica,MNT,0,1045.02124023,2021-07-23,2021-07-27
None,Llapi,KOS,0,1042.54516602,2021-07-23,2021-08-16
None,Connahs Quay,WAL,0,1040.23840332,2021-07-21,2021-08-16
None,Smorgon,BLR,1,1039.18103027,2021-07-26,2021-08-16
None,FC Infonet,EST,0,1031.85620117,2021-07-23,2021-08-16
None,Sputnik,BLR,1,1030.42980957,2021-07-23,2021-08-16
None,Paide Linnameeskond,EST,0,1025.16894531,2021-07-23,2021-08-16
None,Klaksvik,FAR,0,1021.6762085,2021-07-23,2021-08-16
None,Birkirkara,MLT,0,1021.14440918,2021-07-23,2021-08-16
None,Gzira United,MLT,0,1020.63708496,2021-07-23,2021-08-16
None,Mosta,MLT,0,1019.74395752,2021-07-23,2021-08-16
None,Hibernians Paola,MLT,0,1017.47802734,2021-07-23,2021-08-16
None,Bala,WAL,0,1014.94891357,2021-07-21,2021-08-16
None,Newtown AFC,WAL,0,1008.14215088,2021-07-21,2021-08-16
None,B 36 Torshavn,FAR,0,969.962219238,2021-07-23,2021-08-16
None,HB Torshavn,FAR,0,965.335632324,2021-07-23,2021-07-27
None,Runavik,FAR,0,959.088012695,2021-07-23,2021-08-16
None,Lincoln,GIB,0,950.25213623,2021-07-21,2021-07-28
None,College Europa,GIB,0,930.74395752,2021-07-21,2021-08-16
None,St Josephs,GIB,0,904.37902832,2021-07-21,2021-08-16
None,Santa Coloma,AND,0,856.686462402,2021-07-23,2021-08-16
None,Mons Calpe,GIB,0,841.35723877,2021-07-21,2021-08-16
None,Escaldes,AND,0,836.952331543,2021-07-23,2021-07-27
None,Matecosa Sant Julia,AND,0,818.25769043,2021-07-23,2021-08-16
None,Folgore,SMR,0,671.098022461,2021-07-21,2021-08-16
None,Tre Penne,SMR,0,664.04888916,2021-07-21,2021-08-16
None,La Fiorita,SMR,0,650.18737793,2021-07-21,2021-08-16
